DevType,Country,OrgSize,YearsCodePro,CompTotal,LanguageHaveWorkedWith,ToolsTechHaveWorkedWith,PlatformHaveWorkedWith,MiscTechHaveWorkedWith
"Developer, full-stack",Germany,100 to 499 employees,6,54000.0,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;R;Rust;SQL;TypeScript,Ansible;APT;Homebrew;Kubernetes;Make;npm;Pip;Terraform;Vite;Webpack;Yarn,Amazon Web Services (AWS);Google Cloud;Hetzner,Apache Kafka;Spring Framework
"Developer, desktop or enterprise applications",Italy,"10,000 or more employees",13,245000.0,Java;Kotlin,Gradle,,
"Developer, back-end",Ukraine,20 to 99 employees,3,3000.0,Go,Docker,Amazon Web Services (AWS);Firebase;Google Cloud,
"Developer, full-stack",Sweden,2 to 9 employees,5,500000.0,Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,APT;Composer;Docker;Homebrew;npm;Pip;Vite,Digital Ocean,
"Developer, full-stack",United States of America,"5,000 to 9,999 employees",13,200000.0,Bash/Shell (all shells);Clojure;HTML/CSS;Java;JavaScript;Rust;SQL;TypeScript,Ansible;Docker;Homebrew;Kubernetes;Maven (build tool);npm;pnpm;Terraform,Amazon Web Services (AWS),
"Developer, full-stack",Canada,"5,000 to 9,999 employees",1,63000.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;Rust;Scala;SQL;TypeScript,Bun;Chocolatey;Gradle;Maven (build tool);npm;pnpm;Vite;Webpack,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure;Supabase;Vercel,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;RabbitMQ;TensorFlow
Student,India,,Less than 1 year,,C;C++;HTML/CSS;Java;JavaScript;Python,npm;Pip,Google Cloud,Keras;NumPy
"Developer, full-stack",Germany,2 to 9 employees,1,,Bash/Shell (all shells);C;C++;Go;Java;Kotlin;Lua;Rust;SQL,Docker;Gradle;Nix;Pacman,Hetzner,
"Developer, embedded applications or devices",United States of America,"10,000 or more employees",28,155000.0,Assembly;Bash/Shell (all shells);C;C#;C++;Cobol;Delphi;Fortran;HTML/CSS;Java;JavaScript;Lisp;MATLAB;Perl;PHP;PowerShell;Python;SQL;Visual Basic (.Net),Docker;Google Test;Make;Pip;Visual Studio Solution,Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI);VMware,.NET Framework (1.0 - 4.8);MFC;NumPy;Pandas
"Developer, desktop or enterprise applications",Switzerland,20 to 99 employees,28,,C#;Delphi;HTML/CSS;PHP;Python;SQL;TypeScript,MSBuild;npm;NuGet;Visual Studio Solution;Webpack,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin
"Developer, full-stack",Switzerland,10 to 19 employees,Less than 1 year,84500.0,Bash/Shell (all shells);Go;HTML/CSS;Java;Python;Rust,Chocolatey;Docker;Gradle;Homebrew;Kubernetes;Pacman;Pip,,NumPy;Pandas;React Native;Scikit-Learn
"Developer, full-stack",Turkey,100 to 499 employees,15,70000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Docker;npm;NuGet;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron
"Developer, full-stack",Sweden,2 to 9 employees,1,,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript,Bun;Docker;Google Test;Homebrew;npm;Pip;pnpm;Vite;Webpack,Amazon Web Services (AWS);Cloudflare;Firebase;Oracle Cloud Infrastructure (OCI);Supabase;Vercel,NumPy;Pandas;React Native
Engineering manager,United States of America,100 to 499 employees,29,185000.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;SQL,Ansible;Terraform,Amazon Web Services (AWS);Microsoft Azure,
"Developer, full-stack",France,100 to 499 employees,6,45000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL,,,
"Senior Executive (C-Suite, VP, etc.)",United States of America,10 to 19 employees,17,240000.0,C++;Dart;Elixir;Erlang;Go;HTML/CSS;JavaScript;Kotlin;Python;Ruby;SQL;Swift;TypeScript,Ansible;Docker;Homebrew;Ninja;Nix;npm;Terraform;Webpack;Yarn,"Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Linode, now Akamai;Managed Hosting;Microsoft Azure;VMware",Flutter;React Native
"Developer, full-stack",Ukraine,10 to 19 employees,5,1459200.0,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript,Ansible;Bun;Composer;Docker;Gradle;npm;pnpm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Heroku;Microsoft Azure;Vercel,
"Developer, front-end",India,20 to 99 employees,8,,C;JavaScript;Objective-C;Swift,Gradle;Homebrew;npm;Yarn,,React Native
Student,Netherlands,,,,C;C#;C++;GDScript;Haskell;HTML/CSS;JavaScript;Lua;Prolog;Rust,Godot;Make;npm;Pacman;pnpm;Visual Studio Solution;Vite,,
DevOps specialist,Poland,100 to 499 employees,20,340000.0,Bash/Shell (all shells),Ansible;Docker;Homebrew;Kubernetes;Make;Maven (build tool);Pacman;Pip;Terraform,Microsoft Azure,Ruff
"Developer, game or graphics",Ukraine,100 to 499 employees,4,27600.0,C;C++,MSBuild,,
Other (please specify):,Germany,100 to 499 employees,7,5255520.0,Bash/Shell (all shells);GDScript;Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Chocolatey;Docker;Godot;Kubernetes;Maven (build tool);npm;Vite,,Spring Framework
"Developer, back-end",Ukraine,20 to 99 employees,4,1092000.0,Python,Docker;Kubernetes;Pip,Amazon Web Services (AWS),RabbitMQ
"Developer, full-stack",United States of America,"1,000 to 4,999 employees",32,105000.0,C#;Cobol;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),Docker;MSBuild;NuGet;Unreal Engine,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Ukraine,100 to 499 employees,10,5000.0,Java;JavaScript;SQL,Docker;Gradle;Homebrew;Maven (build tool),Amazon Web Services (AWS);Microsoft Azure,Apache Kafka;Spring Framework
"Developer, game or graphics",Bangladesh,,,,Go,Google Test,Google Cloud,Capacitor
"Developer, full-stack",Czech Republic,10 to 19 employees,8,1300000.0,Dart;HTML/CSS;JavaScript;TypeScript,Docker;Kubernetes;pnpm;Podman;Terraform;Vite;Webpack,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Flutter
Data engineer,Austria,10 to 19 employees,3,75000.0,Bash/Shell (all shells);HTML/CSS;Java;Kotlin;Python;SQL,Ansible;APT;Docker;Gradle;Kubernetes;Make;Maven (build tool);npm;Pip,Amazon Web Services (AWS);Google Cloud,NumPy;Pandas;Spring Framework
Academic researcher,France,20 to 99 employees,20,42300.0,Rust;Scala;Swift,Pacman,,
"Developer, full-stack",Turkey,,2,,C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;Python,Chocolatey;Docker;Make;Pip;pnpm;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Heroku;Netlify;OpenStack;Render;Vercel;VMware,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Apache Spark;Flutter;Hadoop;Opencv;Pandas;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch
Student,Germany,,Less than 1 year,,C++;MATLAB;Python,Gradle;Unity 3D,,NumPy;Opencv;Torch/PyTorch
"Developer, desktop or enterprise applications",Germany,"10,000 or more employees",10,110000.0,Bash/Shell (all shells);MATLAB;PowerShell;Python,Docker;Kubernetes;Pip,OpenShift,Pandas;Ruff
"Developer, full-stack",Germany,"10,000 or more employees",10,64800.0,Bash/Shell (all shells);Go;Groovy;Java;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript,Chocolatey;Docker;Gradle;Homebrew;Kubernetes;Pip;Terraform;Webpack;Yarn,Amazon Web Services (AWS),Apache Kafka;Spring Framework
Other (please specify):,Norway,,1,,C#;HTML/CSS;JavaScript;PHP;SQL;VBA,,,
"Developer, front-end",Italy,20 to 99 employees,2,16700.0,JavaScript;PHP,APT;Docker;npm,Firebase;Hetzner;Netlify;Vercel,
"Developer, back-end",United States of America,"1,000 to 4,999 employees",4,170000.0,Bash/Shell (all shells);Go;JavaScript;Lua;PHP;Ruby;SQL;TypeScript,Ansible;Docker;Homebrew;Kubernetes;Make;npm;Puppet;Terraform;Webpack;Yarn,Amazon Web Services (AWS);Google Cloud,RabbitMQ
Security professional,United States of America,I don’t know,4,240000.0,C;C++;Go;Java;JavaScript;Lua;Python;Rust;TypeScript,Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);Ninja;npm;Pacman;Pip;pnpm;Podman,Amazon Web Services (AWS);Cloudflare,
"Developer, embedded applications or devices",Germany,"1,000 to 4,999 employees",37,75000.0,Assembly;C;C++;HTML/CSS;MicroPython;Python;Rust;SQL,Ansible;Chocolatey;Google Test;Homebrew;Podman,Amazon Web Services (AWS);Hetzner,NumPy;Opencv;Qt;Torch/PyTorch
DevOps specialist,Canada,500 to 999 employees,19,130000.0,Python,Homebrew;npm;Terraform,Amazon Web Services (AWS),
Engineering manager,United States of America,100 to 499 employees,12,300000.0,Bash/Shell (all shells);C++;Go;JavaScript;Python;TypeScript,Ansible;APT;Homebrew;Terraform;Vite;Webpack;Yarn,Amazon Web Services (AWS),
Other (please specify):,Germany,,,,C#;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript;Visual Basic (.Net),Composer;Docker;Gradle;Maven (build tool);Webpack,Amazon Web Services (AWS),.NET (5+) ;Flutter;Spring Framework
"Developer, full-stack",United States of America,"10,000 or more employees",15,155000.0,C#;JavaScript;PowerShell;SQL;TypeScript,Docker;npm;Vite;Yarn,Amazon Web Services (AWS);Heroku;Microsoft Azure,
Other (please specify):,United States of America,"10,000 or more employees",9,220000.0,Bash/Shell (all shells);Haskell;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Docker;Homebrew;Kubernetes;npm;Pip;Webpack,Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure,
"Developer, full-stack",France,"Just me - I am a freelancer, sole proprietor, etc.",11,60000.0,Bash/Shell (all shells);Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Ansible;Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;Pip;pnpm;Terraform;Vite;Yarn,Amazon Web Services (AWS);Cloudflare;Google Cloud;OVH,Flutter;Pandas;Quarkus;RabbitMQ;React Native;Spring Framework
"Developer, full-stack",Sweden,20 to 99 employees,6,470000.0,Bash/Shell (all shells);C#;Delphi;Go;HTML/CSS;JavaScript;Kotlin;Perl;PHP;Swift;TypeScript,APT;Chocolatey;Docker;Gradle;Kubernetes;MSBuild;npm;NuGet;pnpm;Unity 3D;Visual Studio Solution;Vite,Cloudflare;Digital Ocean;OVH,.NET (5+) ;Ktor;RabbitMQ
"Developer, back-end",Uzbekistan,10 to 19 employees,2,216000000.0,C#,MSBuild,,.NET (5+) 
"Developer, back-end",Cuba,2 to 9 employees,8,12000.0,Elixir;Python,Pip,,Ruff
Data engineer,France,10 to 19 employees,12,55000.0,Python;SQL,Chocolatey;Pip,Microsoft Azure,
"Developer, back-end",Ukraine,100 to 499 employees,19,105000.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Chocolatey;Docker;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution;Yarn,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;RabbitMQ
"Developer, full-stack",Italy,10 to 19 employees,5,26000.0,Bash/Shell (all shells);C;C#;C++;Dart;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Docker;Pacman;Pip;pnpm;Visual Studio Solution;Vite,,.NET (5+) ;.NET MAUI;NumPy;Tauri
"Developer, back-end",Netherlands,"1,000 to 4,999 employees",15,160000.0,Bash/Shell (all shells);C#;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Rust;SQL,Dagger;Gradle;Homebrew;Kubernetes;Terraform,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;Apache Kafka;NumPy;Torch/PyTorch
"Developer, full-stack","Iran, Islamic Republic of...",10 to 19 employees,20,10000000000.0,HTML/CSS;JavaScript;Python;TypeScript,Docker;npm;Pip;pnpm;Vite;Yarn,Google Cloud,NumPy;Opencv;Pandas;RabbitMQ;React Native;Scikit-Learn;Torch/PyTorch
"Developer, desktop or enterprise applications",Russian Federation,20 to 99 employees,3,,C++,Docker;Visual Studio Solution,,
Data or business analyst,Kenya,,,,,,,
"Developer, back-end",Australia,20 to 99 employees,Less than 1 year,20000.0,C++;JavaScript;Python,Docker;Pip,,
"Senior Executive (C-Suite, VP, etc.)",United States of America,2 to 9 employees,15,600000.0,Bash/Shell (all shells);C++;Haskell;Java;JavaScript;Python;Scala;TypeScript,Make;Maven (build tool),Amazon Web Services (AWS);Google Cloud,Apache Spark;NumPy;Pandas;Scikit-Learn
"Developer, back-end",Canada,,,,C++;HTML/CSS;JavaScript;PHP;PowerShell;SQL;VBA,Visual Studio Solution,,Hadoop
"Developer, back-end",Slovakia,100 to 499 employees,6,,C#;Groovy;Java;Kotlin;Scala;SQL,Docker;Gradle;Homebrew;Maven (build tool),Amazon Web Services (AWS);Heroku,.NET (5+) ;.NET MAUI;Spring Framework;Xamarin
Academic researcher,Finland,,Less than 1 year,,C;Java;MATLAB;Python,,,CUDA;NumPy;Torch/PyTorch
"Developer, full-stack",Ukraine,"1,000 to 4,999 employees",6,69000.0,HTML/CSS;JavaScript;SQL;TypeScript,Docker;npm,,
Engineering manager,Chile,20 to 99 employees,15,48000000.0,C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Docker;Kubernetes;Maven (build tool);npm;NuGet;Pip;Terraform,Amazon Web Services (AWS);Digital Ocean;OpenStack;OVH;VMware,.NET (5+) ;NumPy;Opencv;React Native;Spring Framework;Xamarin
"Developer, back-end",Malaysia,100 to 499 employees,17,70000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP,Ant;Composer;Docker;Gradle;Homebrew;Kubernetes;npm;Pip;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku;Microsoft Azure,Flutter;NumPy;Pandas;TensorFlow
Academic researcher,United States of America,2 to 9 employees,1,50000.0,C;C++;Java;JavaScript;Kotlin;R;Rust;TypeScript,Docker;Homebrew;Maven (build tool);Ninja;Pip;pnpm,"Linode, now Akamai",
"Developer, front-end",Ukraine,20 to 99 employees,4,,JavaScript,Docker;npm;pnpm;Yarn,Amazon Web Services (AWS);Google Cloud,
Academic researcher,Romania,I don’t know,6,144000.0,Python;Rust,Pip,,Keras;NumPy;Scikit-Learn
Student,Netherlands,"Just me - I am a freelancer, sole proprietor, etc.",3,,Bash/Shell (all shells);C#;C++;GDScript;Haskell;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,Godot;MSBuild;npm;NuGet;Unity 3D,,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;Opencv;OpenGL;React Native;Roslyn;Torch/PyTorch
Educator,India,20 to 99 employees,4,,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;PowerShell;Python;R;SQL,Composer;npm;Pip,Heroku,NumPy;Pandas;Scikit-Learn
"Developer, back-end",Belgium,10 to 19 employees,25,40000.0,Elixir;Java;Ruby;SQL,Homebrew;Make,,
"Developer, full-stack",Poland,20 to 99 employees,9,265000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,Docker;Kubernetes;MSBuild;npm;NuGet,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Senior Executive (C-Suite, VP, etc.)",Italy,500 to 999 employees,30,,C#;C++;JavaScript;PowerShell;Python;SQL;Visual Basic (.Net),Visual Studio Solution,Microsoft Azure,.NET Framework (1.0 - 4.8)
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,100 to 499 employees,21,102000.0,Scala,Docker;Nix;npm,Google Cloud,Electron;OpenGL
Engineering manager,United States of America,10 to 19 employees,5,210000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Docker;Homebrew;Maven (build tool);npm;Pip;pnpm;Vite;Webpack,Amazon Web Services (AWS);Cloudflare,
"Developer, full-stack",India,"10,000 or more employees",2,757000.0,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;Solidity;SQL,npm;NuGet;Visual Studio Solution,,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, back-end",Portugal,100 to 499 employees,5,42000.0,Bash/Shell (all shells);C#;C++;Dart;GDScript;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Chocolatey;Godot;Homebrew;MSBuild;npm;NuGet;Terraform;Unity 3D;Visual Studio Solution;Vite;Webpack;Yarn,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);NumPy;Pandas;Scikit-Learn;Torch/PyTorch
"Engineer, site reliability",Jordan,500 to 999 employees,8,32000000.0,Bash/Shell (all shells);C#;Go;HTML/CSS;Python;SQL,Homebrew;Make;NuGet,Cloudflare,.NET Framework (1.0 - 4.8);NumPy;Pandas;Ruff
"Developer, back-end",Georgia,2 to 9 employees,16,110000.0,Go;Python,APT;Composer;Docker;Make;Pip,"Amazon Web Services (AWS);Linode, now Akamai",Pandas
Project manager,United States of America,,,,JavaScript;TypeScript,Pip,Firebase;Hetzner;Supabase;Vercel,
"Developer, full-stack",Netherlands,10 to 19 employees,3,,Clojure;Groovy;JavaScript;Python;TypeScript,Docker;Maven (build tool),,
Student,Argentina,,,,Java;Python;SQL,Maven (build tool),,Pandas
"Developer, back-end","Iran, Islamic Republic of...","Just me - I am a freelancer, sole proprietor, etc.",5,12000.0,C++;HTML/CSS;JavaScript;PHP;SQL,Composer,Cloudflare,
Data scientist or machine learning specialist,United States of America,100 to 499 employees,7,,JavaScript;Python;SQL,,Google Cloud;Microsoft Azure,NumPy;Opencv;Pandas;Scikit-Learn;Torch/PyTorch
Student,Bangladesh,,,,C++;Java;JavaScript;TypeScript,Docker;npm;Vite;Yarn,Vercel,
"Developer, front-end",Russian Federation,500 to 999 employees,2,3200000.0,HTML/CSS;JavaScript;TypeScript,Vite;Webpack;Yarn,Firebase,
"Developer, full-stack",Turkey,"Just me - I am a freelancer, sole proprietor, etc.",27,,C#;Dart;SQL;TypeScript,Chocolatey;Docker;Homebrew;MSBuild;npm;NuGet;Unity 3D;Visual Studio Solution;Yarn,Firebase,.NET (5+) ;.NET MAUI;Flutter;RabbitMQ;Xamarin
Data engineer,United Kingdom of Great Britain and Northern Ireland,"1,000 to 4,999 employees",5,44000.0,Java;JavaScript;Python;TypeScript,Gradle;Homebrew;Pip;Terraform,Amazon Web Services (AWS);Microsoft Azure,
"Developer, back-end",United States of America,20 to 99 employees,7,177000.0,C#;HTML/CSS;Java;JavaScript;Lua;SQL;TypeScript,Gradle;Homebrew;Make;npm;Terraform;Yarn,Amazon Web Services (AWS);Microsoft Azure,Spring Framework
Other (please specify):,Croatia,2 to 9 employees,10,26000.0,Bash/Shell (all shells);Go;JavaScript;Lisp;Python;Rust,Docker;Pacman;Pip,Hetzner,
Data or business analyst,Rwanda,100 to 499 employees,3,25000000.0,C#;Python;SQL,Docker,Microsoft Azure,.NET Framework (1.0 - 4.8);Apache Spark;DirectX;Pandas
"Developer, full-stack",Switzerland,2 to 9 employees,5,36000.0,C#;HTML/CSS;JavaScript;Python;Rust;TypeScript,Docker;npm;NuGet;pnpm;Unity 3D,Microsoft Azure,.NET (5+) 
Research & Development role,China,20 to 99 employees,8,,Bash/Shell (all shells);C#;C++;Go;JavaScript;Julia;PowerShell;Python;Rust;TypeScript,,Alibaba Cloud,.NET (5+) ;CUDA;Electron;Flutter;mlflow;NumPy;Pandas;Torch/PyTorch
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,20 to 99 employees,6,50000.0,C;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift;Visual Basic (.Net),Google Test;Homebrew;npm;Vite;Webpack,Google Cloud,
"Developer, full-stack",India,"1,000 to 4,999 employees",7,2780000.0,Bash/Shell (all shells);Java;JavaScript;Python;SQL;TypeScript,Ansible;APT;Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;Pip;Podman;Webpack;Yarn,Amazon Web Services (AWS);Netlify;Vercel,RabbitMQ
"Developer, full-stack",United States of America,20 to 99 employees,2,65000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Ruby;SQL;VBA;Visual Basic (.Net),Unity 3D;Unreal Engine;Visual Studio Solution,,.NET Framework (1.0 - 4.8)
Other (please specify):,India,,,,C;HTML/CSS;Java;JavaScript,,,
"Developer, full-stack",Indonesia,10 to 19 employees,1,156000000.0,Clojure;Go;HTML/CSS;JavaScript;SQL;TypeScript,Docker;Make;npm;pnpm;Podman;Vite;Webpack;Yarn,Cloudflare;Fly.io;Supabase;Vercel,
Other (please specify):,Netherlands,,,,Bash/Shell (all shells);HTML/CSS;Perl;Python;SQL,Ansible;Make,,
"Developer, mobile",Poland,20 to 99 employees,7,50000.0,C#,Unity 3D,Amazon Web Services (AWS);Firebase,
"Developer, full-stack",United States of America,100 to 499 employees,2,80000.0,C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL,APT;Chocolatey;Docker;Homebrew;MSBuild;NuGet;Pip;Visual Studio Solution;Yarn,Microsoft Azure,.NET (5+) ;.NET MAUI;NumPy;Pandas;RabbitMQ
Other (please specify):,Russian Federation,2 to 9 employees,Less than 1 year,,C#;Python;VBA,,,
"Developer, back-end",United States of America,"1,000 to 4,999 employees",13,195000.0,Dart;HTML/CSS;Rust;SQL;TypeScript,Docker;Kubernetes;npm;pnpm;Vite;Webpack,Amazon Web Services (AWS);Supabase;Vercel,Apache Kafka;Flutter;Hadoop
Educator,United States of America,,,,HTML/CSS;Java;JavaScript;PHP;Python;SQL,,,
Academic researcher,Germany,,,,Bash/Shell (all shells);C;C#;C++;Clojure;Go;HTML/CSS;Java;JavaScript;Python;SQL,APT;Docker;Make;npm;Pip,Google Cloud;Microsoft Azure,CUDA;Hugging Face Transformers;JAX;Keras;mlflow;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch
"Developer, full-stack",Brazil,"1,000 to 4,999 employees",12,180000.0,HTML/CSS;JavaScript;PHP;Python;TypeScript,Composer;Docker;Homebrew;npm;Pip;Terraform;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Heroku;Microsoft Azure;Netlify;Vercel,Apache Kafka;React Native
"Developer, back-end",Germany,"10,000 or more employees",4,55000.0,Assembly;Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,Composer;Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);npm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner;Microsoft Azure;OVH,Pandas;Spring Framework
"Developer, full-stack",Ireland,"10,000 or more employees",13,100000.0,C#;Elixir;JavaScript,npm;NuGet,Microsoft Azure,.NET (5+) 
