DevType,CompTotal,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,Industry
"Developer, full-stack",171250000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;PostgreSQL;SQLite,Amazon Web Services (AWS);Microsoft Azure;VMware,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",105490000.0,C#;HTML/CSS;Python;SQL,Microsoft SQL Server,,ASP.NET;ASP.NET CORE;Blazor,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",139740000.0,Bash/Shell (all shells);HTML/CSS;JavaScript,Dynamodb;Redis,Amazon Web Services (AWS);Google Cloud;Netlify,Express;jQuery;Node.js;React;Ruby on Rails;WordPress,,,Advertising Services
"Developer, full-stack",123300000.0,Dart;HTML/CSS;JavaScript;PHP;TypeScript,Cloud Firestore,Cloudflare;Firebase;Google Cloud,jQuery,,Flutter,Higher Education
"Developer, embedded applications or devices",178100000.0,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Python,MySQL;SQLite,Amazon Web Services (AWS);Digital Ocean,Flask,,,
"Developer, full-stack",232900000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,BigQuery;Cloud Firestore;Firebase Realtime Database;PostgreSQL;SQLite,Digital Ocean;Firebase;Google Cloud;Netlify,Django;Express;Node.js;React;Svelte;WordPress,,,
"Developer, back-end",63000000.0,Go;JavaScript;Perl;Python;SQL,MySQL,,,,,"Information Services, IT, Software Development, or other Technology"
"Developer, front-end",16200000.0,C#;HTML/CSS;JavaScript,,,jQuery;React;Svelte;Vue.js,,,
Security professional,369900000.0,Bash/Shell (all shells);C;Go;Perl;PHP;Python;SQL,Elasticsearch;MariaDB;MySQL;Oracle;SQLite,Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),Flask,,,Advertising Services
Data scientist or machine learning specialist,164400000.0,Python;R;SQL,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,,,,NumPy;Pandas,Healthcare
"Developer, full-stack",198650000.0,Go;HTML/CSS;JavaScript;PHP;Ruby;Rust;SQL;TypeScript,MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare,Angular;jQuery;Laravel;Next.js;React;Ruby on Rails;Symfony;WordPress,,,
Blockchain,29600000.0,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Delphi;Elixir;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;Objective-C;Perl;PowerShell;Python;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;Visual Basic (.Net),Firebase Realtime Database;Microsoft Access;Microsoft SQL Server;PostgreSQL;Snowflake;Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Fly.io;Google Cloud;Microsoft Azure;Netlify;OpenShift;Oracle Cloud Infrastructure (OCI);Vercel;VMware,Angular;ASP.NET;Express;FastAPI,,.NET (5+),Advertising Services
"Developer, full-stack",169100000.0,Assembly;C;C#;C++;Dart;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Dynamodb;Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Firebase;Heroku;OpenShift,Express;NestJS;React,,Apache Kafka;Apache Spark;Flutter;Keras;Pandas,
"Developer, full-stack",95900000.0,C#;Dart;HTML/CSS;JavaScript;TypeScript,Cloud Firestore;Cosmos DB;Dynamodb;Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure,Angular;Blazor;Express;NestJS;Next.js;Node.js;React,,.NET (5+);Electron;Flutter;React Native,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",137000000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL,Microsoft Azure,Angular;ASP.NET CORE;Blazor;Express;Node.js,,.NET (5+);Capacitor;Electron;Ionic,Financial Services
"Developer, full-stack",150700000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB;PostgreSQL,Microsoft Azure,Express;Gatsby;Node.js;React;WordPress,,Electron;Hugging Face Transformers,
"Developer, full-stack",60000000.0,Go;JavaScript;PHP,MariaDB;MySQL;Redis,Amazon Web Services (AWS);Microsoft Azure;OVH,Node.js;React;WordPress,,Apache Kafka,"Information Services, IT, Software Development, or other Technology"
Engineering manager,219200000.0,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Microsoft SQL Server;MongoDB;MySQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Angular;ASP.NET;Node.js,,.NET (5+);.NET Framework (1.0 - 4.8);.NET MAUI,
"Developer, full-stack",109600000.0,C#;HTML/CSS,Microsoft Access;Microsoft SQL Server;MySQL,,Express;React;WordPress,,.NET (5+);.NET Framework (1.0 - 4.8),"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",150700000.0,Java;JavaScript,MongoDB;MySQL;Oracle,OpenShift,AngularJS;React,,Apache Kafka;RabbitMQ;Spring Framework,Healthcare
"Developer, full-stack",27000000.0,HTML/CSS;JavaScript;Ruby;SQL,PostgreSQL;SQLite,Digital Ocean;Heroku,Ruby on Rails,,,Advertising Services
"Developer, full-stack",178100000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python,Dynamodb;Snowflake,Amazon Web Services (AWS),React;Spring Boot,,,Financial Services
"Developer, full-stack",719250000.0,HTML/CSS;JavaScript;PHP;Ruby;Swift,MySQL,Digital Ocean,jQuery;Laravel;Ruby on Rails;Svelte,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",125000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);Digital Ocean,AngularJS;Express;Fastify;jQuery;Nuxt.js;Vue.js,,Electron,
"Developer, full-stack",249340000.0,JavaScript;Rust;TypeScript,Cosmos DB;SQLite,,Express;Next.js;Node.js;React,,OpenGL,
"Developer, embedded applications or devices",116450000.0,C;C++;Rust,SQLite,,,,,
"Developer, front-end",34500000.0,JavaScript;TypeScript,MongoDB,,Angular,,,
"Developer, full-stack",198650000.0,Bash/Shell (all shells);JavaScript;Kotlin;Python;TypeScript,Dynamodb;MySQL,Amazon Web Services (AWS),,,NumPy;Pandas;Spring Framework;TensorFlow;Torch/PyTorch,"Manufacturing, Transportation, or Supply Chain"
"Developer, full-stack",71400000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP,MySQL;Solr,Amazon Web Services (AWS);Vercel,Drupal;Next.js;Node.js;React;Symfony,,,
Product manager,116450000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;MySQL,"Cloudflare;Linode, now Akamai;Netlify",Gatsby;jQuery;React;WordPress,,,
"Developer, full-stack",191800000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Dynamodb;Elasticsearch;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS),Django;jQuery;Node.js;React,,,
Engineering manager,753500000.0,Bash/Shell (all shells);C++;Go;Java;JavaScript,,Amazon Web Services (AWS);Google Cloud,,,,"Information Services, IT, Software Development, or other Technology"
"Developer, front-end",184950000.0,HTML/CSS;JavaScript;TypeScript,,Digital Ocean;Heroku,Node.js;React,,,
"Developer, full-stack",63750000.0,HTML/CSS;JavaScript;Ruby;SQL,MongoDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Heroku,jQuery;Node.js;React;Ruby on Rails,,React Native,
"Developer, back-end",358000000.0,Bash/Shell (all shells);C;C++;JavaScript;Ruby;SQL,MySQL;PostgreSQL;Redis;SQLite,Digital Ocean;Heroku,React;Ruby on Rails;WordPress,,,
"Developer, full-stack",116450000.0,C#;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;SQL;TypeScript,Cloud Firestore;Microsoft SQL Server,Google Cloud;Microsoft Azure,Angular;ASP.NET;jQuery;Node.js;Spring Boot,,.NET (5+);.NET Framework (1.0 - 4.8);.NET MAUI;Spring Framework,"Manufacturing, Transportation, or Supply Chain"
"Developer, full-stack",21000000.0,C++;JavaScript;SQL;Visual Basic (.Net),Microsoft Access;Microsoft SQL Server;MySQL,,Express;Gatsby;NestJS;Next.js;Node.js;React;WordPress,,Cordova;Ionic;React Native,"Manufacturing, Transportation, or Supply Chain"
"Developer, full-stack",308250000.0,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net),Microsoft SQL Server;MySQL,,ASP.NET;ASP.NET CORE;Blazor;jQuery;WordPress,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",148200000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Cosmos DB;MongoDB;MySQL;Redis;Solr,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;jQuery;Node.js;Vue.js,,.NET Framework (1.0 - 4.8),"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",123300000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,PostgreSQL,Digital Ocean,jQuery;Symfony,,,
"Developer, full-stack",201390000.0,HTML/CSS;JavaScript;Ruby;TypeScript,MySQL;Oracle,Amazon Web Services (AWS),NestJS;Node.js;Ruby on Rails,,,Retail and Consumer Services
"Developer, full-stack",137000000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL;TypeScript,PostgreSQL,Amazon Web Services (AWS);Heroku;Vercel,React;Ruby on Rails,,,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",106860000.0,HTML/CSS;JavaScript;PHP;SQL;TypeScript,MySQL,"Amazon Web Services (AWS);Google Cloud;Linode, now Akamai",jQuery;Laravel;Vue.js,,,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",30000000.0,C#,Microsoft SQL Server;SQLite,,Angular;ASP.NET CORE,,.NET (5+),Retail and Consumer Services
"Developer, back-end",210980000.0,Bash/Shell (all shells);C#;Groovy;Java;JavaScript;Kotlin;PowerShell;Python;SQL;Swift,Elasticsearch;MongoDB;Snowflake;SQLite,Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure;OVH,Angular;Express;Flask;NestJS;Node.js;React;Spring Boot,,RabbitMQ;React Native;Spring Framework;SwiftUI,
"Developer, full-stack",246600000.0,HTML/CSS;JavaScript;PHP;Python,MySQL;PostgreSQL,Amazon Web Services (AWS),Express;Next.js;Node.js;React,,TensorFlow,
"Developer, full-stack",143850000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Elasticsearch;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,AngularJS;Django;FastAPI;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress,,NumPy;Spring Framework,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",164500000.0,C#,Cosmos DB;Microsoft SQL Server,Microsoft Azure,,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, back-end",253450000.0,Bash/Shell (all shells);Groovy;JavaScript;PHP;Python;SQL,Microsoft SQL Server;MySQL;PostgreSQL;Snowflake,Amazon Web Services (AWS),Flask,,NumPy;Opencv;Pandas;Scikit-Learn,
"Developer, full-stack",219200000.0,C#;HTML/CSS;TypeScript,Microsoft SQL Server;MySQL,Microsoft Azure,ASP.NET CORE,,.NET (5+),
"Developer, full-stack",220000000.0,C#;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;Ruby;Swift;TypeScript,Neo4J,Microsoft Azure,ASP.NET CORE;Blazor;Node.js;React,,.NET (5+),"Information Services, IT, Software Development, or other Technology"
Data scientist or machine learning specialist,110880000.0,Bash/Shell (all shells);C;C++;Python;Swift,PostgreSQL;Redis;SQLite,Google Cloud;Microsoft Azure,FastAPI,,CUDA;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;SwiftUI;Torch/PyTorch,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",121108000.0,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;MySQL,Google Cloud,React,,,
Data scientist or machine learning specialist,116450000.0,HTML/CSS;JavaScript;Python;SQL,Microsoft SQL Server;Oracle;PostgreSQL,Heroku;Microsoft Azure,Flask,,CUDA;Keras;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,
"Developer, full-stack",164400000.0,C++;Python,Oracle,,,,,
"Developer, full-stack",342500000.0,Bash/Shell (all shells);JavaScript;TypeScript,Dynamodb;Microsoft SQL Server;PostgreSQL;Snowflake,Amazon Web Services (AWS),Node.js;React,,Apache Kafka,Financial Services
"Developer, full-stack",115080000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;TypeScript,MySQL,Cloudflare,Drupal;Laravel;Next.js;Node.js;React,,React Native,Higher Education
"Developer, full-stack",128780000.0,Go;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript,Dynamodb;PostgreSQL,Amazon Web Services (AWS),Node.js;Ruby on Rails;Spring Boot;Vue.js,,Spring Framework,
"Developer, full-stack",232900000.0,Java;JavaScript;Python;Ruby;Rust;SQL;TypeScript,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Django;Ruby on Rails,,CUDA;Hugging Face Transformers;Scikit-Learn;Torch/PyTorch,Financial Services
"Developer, front-end",57800000.0,C#;HTML/CSS;JavaScript;PowerShell;Rust;TypeScript,,Vercel,AngularJS;ASP.NET;Deno;Next.js;Node.js;React,,.NET Framework (1.0 - 4.8);Electron;Flutter;SwiftUI,
"Developer, game or graphics",109600000.0,Bash/Shell (all shells);C;C#;C++;JavaScript,MongoDB,Fly.io;Vercel,Next.js;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8),"Information Services, IT, Software Development, or other Technology"
Engineering manager,342500000.0,C;C#;C++;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;Oracle;SQLite,Amazon Web Services (AWS);Microsoft Azure;VMware,Angular;ASP.NET;ASP.NET CORE;jQuery,,.NET (5+);.NET Framework (1.0 - 4.8),"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",151300000.0,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Dynamodb;Elasticsearch;MySQL;PostgreSQL;SQLite,"Amazon Web Services (AWS);Linode, now Akamai",,,,
Engineering manager,287700000.0,Ruby,PostgreSQL,Amazon Web Services (AWS),Ruby on Rails,,,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",191800000.0,Bash/Shell (all shells);C#;C++;TypeScript,Microsoft SQL Server;SQLite,Amazon Web Services (AWS),ASP.NET CORE;React,,.NET (5+),
Engineering manager,369900000.0,HTML/CSS;Java;JavaScript,MongoDB,Amazon Web Services (AWS);Heroku;Microsoft Azure;OpenShift,jQuery;Next.js;Node.js;React;Spring Boot,,Apache Kafka;Spring Framework,
"Developer, back-end",107100000.0,Python,Dynamodb,Amazon Web Services (AWS),,,,
"Developer, back-end",616500000.0,C++;Python,BigQuery;Cloud Firestore;MariaDB,Amazon Web Services (AWS);Firebase;Google Cloud,Django;Flask;Node.js;React;Spring Boot,,,
"Developer, front-end",219200000.0,Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS),Angular;Express;Node.js;React;Spring Boot;Vue.js,,,
"Developer, full-stack",138000000.0,HTML/CSS;JavaScript;PHP,MongoDB,Amazon Web Services (AWS),jQuery,,,
"Developer, full-stack",66000000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Ruby;SQL;TypeScript,Cloud Firestore;Microsoft SQL Server;PostgreSQL;Redis;Solr,Firebase;Microsoft Azure;VMware,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js;Ruby on Rails;Vue.js;WordPress,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, back-end",143000000.0,Elixir;Go;Java;JavaScript;Swift;TypeScript,Dynamodb;Elasticsearch;PostgreSQL,Amazon Web Services (AWS),,,,Financial Services
"Developer, front-end",131520000.0,C++;HTML/CSS;JavaScript;Python;TypeScript,MongoDB;MySQL,Firebase,Next.js;Node.js;React,,,
Data scientist or machine learning specialist,200000000.0,JavaScript;Python;SQL,BigQuery;MongoDB,Google Cloud;Heroku,Flask,,CUDA;Hugging Face Transformers;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,
Cloud infrastructure engineer,198650000.0,Bash/Shell (all shells);Python,Elasticsearch,Amazon Web Services (AWS),,,,Healthcare
DevOps specialist,260000000.0,Bash/Shell (all shells);Go;PowerShell;Python;SQL,MongoDB,Amazon Web Services (AWS);Microsoft Azure,,,,
"Developer, back-end",143850000.0,Groovy;HTML/CSS;Java;JavaScript;Python;Scala;SQL,Elasticsearch;H2;MySQL;Oracle;PostgreSQL;Snowflake,Amazon Web Services (AWS),jQuery;Node.js;Spring Boot;Vue.js,,Apache Spark;Spring Framework,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",246600000.0,Java;JavaScript;Python;Scala;TypeScript,Elasticsearch;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare,Django;Next.js;Node.js;React,,React Native;Spring Framework,
Data scientist or machine learning specialist,232900000.0,Python;R;SQL,Snowflake,Microsoft Azure,,,Apache Spark;Hugging Face Transformers;Pandas;Torch/PyTorch,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",79800000.0,Java;Python;SQL,MongoDB;Oracle,,Spring Boot,,Apache Kafka;Spring Framework,Healthcare
"Developer, full-stack",27360000.0,Java;JavaScript,Oracle,Digital Ocean;Firebase;Heroku,Angular,,RabbitMQ;Spring Framework,
"Developer, full-stack",50000000.0,C#;C++;JavaScript;SQL;TypeScript,Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,Microsoft Azure,ASP.NET;ASP.NET CORE;React;Vue.js,,.NET (5+);Xamarin,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",164400000.0,C#;Go;HTML/CSS;Java;JavaScript;SQL;TypeScript,MongoDB;MySQL;SQLite,Microsoft Azure,React;Vue.js,,.NET (5+);Electron,
"Developer, full-stack",246600000.0,C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA;Visual Basic (.Net),MySQL;SQLite,,Django;jQuery;Node.js,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",320580000.0,C#;Elixir;Go;HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript,BigQuery;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku;Microsoft Azure,ASP.NET CORE;Blazor;Node.js;Phoenix;React;Ruby on Rails,,.NET (5+);Apache Kafka,"Information Services, IT, Software Development, or other Technology"
"Developer, front-end",137000000.0,HTML/CSS;JavaScript;PHP;SQL,MySQL,,jQuery;WordPress,,,
"Developer, full-stack",178100000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;SQL;VBA;Visual Basic (.Net),Microsoft SQL Server;MongoDB,OVH,ASP.NET;jQuery,,.NET Framework (1.0 - 4.8),
"Developer, full-stack",169880000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),Microsoft SQL Server,Amazon Web Services (AWS);Managed Hosting;Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8),"Information Services, IT, Software Development, or other Technology"
"Developer, front-end",31811400.0,HTML/CSS;JavaScript;TypeScript,Cloud Firestore;Firebase Realtime Database,Firebase,Angular;AngularJS;Node.js;Nuxt.js;Vue.js,,Capacitor;Electron,"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",92750000.0,C#,Cosmos DB;Microsoft SQL Server,Microsoft Azure,ASP.NET CORE,,.NET (5+),
Data scientist or machine learning specialist,43500000.0,Python,Snowflake,Microsoft Azure,,,NumPy;Pandas,
"Developer, full-stack",123300000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,BigQuery;MongoDB;MySQL;PostgreSQL,Microsoft Azure,Angular;AngularJS;jQuery;Node.js;React,,.NET (5+),"Information Services, IT, Software Development, or other Technology"
"Developer, back-end",202000000.0,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Ruby;SQL,MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Heroku,jQuery;Ruby on Rails,,Electron,
"Developer, back-end",176730000.0,Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL,MongoDB;MySQL;Redis,Amazon Web Services (AWS),ASP.NET CORE;Blazor,,.NET (5+);Apache Kafka,
"Developer, full-stack",164400000.0,Assembly;C++;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;R;Rust;SQL;TypeScript;VBA;Visual Basic (.Net),Microsoft Access;MongoDB;MySQL;Oracle,Firebase;Google Cloud;Microsoft Azure;Vercel,Angular;ASP.NET;ASP.NET CORE;Node.js;React,,NumPy;RabbitMQ,Oil & Gas
"Developer, full-stack",96900000.0,Assembly;C#;JavaScript;Rust;SQL;Swift;TypeScript;Visual Basic (.Net),Elasticsearch;Microsoft SQL Server;PostgreSQL;SQLite,Cloudflare;Digital Ocean;Netlify,ASP.NET CORE;Blazor;Next.js;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ;SwiftUI,Healthcare
"Developer, full-stack",226050000.0,Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;SQL;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Angular;Express;NestJS;Node.js;React;WordPress,,Apache Spark;Flutter;Pandas,
"Developer, back-end",62100000.0,Assembly;Java;Kotlin;Python;SQL,Elasticsearch;MongoDB;MySQL;Redis,Amazon Web Services (AWS),Spring Boot,,Spring Framework,Retail and Consumer Services
"Developer, back-end",175100000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Scala,MongoDB;PostgreSQL,Amazon Web Services (AWS),Spring Boot,,Spring Framework,"Information Services, IT, Software Development, or other Technology"
"Developer, full-stack",226050000.0,JavaScript;TypeScript,Dynamodb;Elasticsearch,Amazon Web Services (AWS),Next.js;Node.js;React;Symfony,,,Advertising Services
