DevType,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSat
"Developer, full-stack",198650000.0,Bash/Shell (all shells);C++;HTML/CSS;JavaScript,Bash/Shell (all shells);HTML/CSS;JavaScript,,,,,Express;React,Express;React;Svelte,CMake;GNU GCC,Arduino,,,Docker;Kubernetes;Make;Vite,Docker;Kubernetes;Vite,DevOps function;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
"Developer, back-end",72250000.0,C#;Java,C#;Java;SQL,,,,,,,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),MSBuild;NuGet;Visual Studio Solution,Docker;Kubernetes;NuGet;Visual Studio Solution,DevOps function;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,,9.0
"Developer, full-stack",178100000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python,MySQL;SQLite,Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),jQuery;Laravel;React,Htmx;jQuery;Laravel,Rasberry Pi,Rasberry Pi,,,APT;Composer;npm;Pip;Vite,APT;Composer;npm;Pip,DevOps function;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Higher Education,7.0
"Developer, embedded applications or devices",56320000.0,Bash/Shell (all shells);C;C++;Go;Python;Rust,Dart;Rust,,,,,,,Arduino;CMake;GNU GCC;LLVM's Clang;Rasberry Pi,Cargo,,,Make;Visual Studio Solution,,DevOps function;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Computer Systems Design and Services,10.0
"Developer, full-stack",7200000.0,HTML/CSS;Python;SQL;TypeScript,Go;HTML/CSS;Python;SQL;TypeScript,MySQL;PostgreSQL,MySQL;PostgreSQL,,,Django,Django;Htmx;Svelte,,,NumPy;Pandas,NumPy;Pandas,Make;npm;pnpm;Vite,Bun;Docker;Make;pnpm;Vite,None of these,Hybrid (on-prem and cloud),AI-powered search (free),"Internet, Telecomm or Information Services",3.0
"Developer, full-stack",287700000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,Python,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,MariaDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS);Cloudflare,Django;Flask;jQuery;Node.js;Vue.js,Django;FastAPI;Flask;Htmx,Rasberry Pi,Arduino;Rasberry Pi,,,Ansible;Docker;Homebrew;Make;Terraform,Ansible;Docker;Kubernetes,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Internal Developer portal,Software Development,7.0
"Developer, full-stack",150000000.0,Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Elixir;HTML/CSS;JavaScript;PHP;Rust;TypeScript,MongoDB;MySQL;PostgreSQL;SQLite,MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Netlify;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud,FastAPI;Laravel;React,Django;FastAPI;Htmx;Laravel;Svelte,,,Flutter;React Native,React Native,Composer;Docker;Homebrew;Make;npm;Pip;Terraform;Vite,Composer;Docker;Homebrew;Make;pnpm,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,6.0
"Developer, back-end",178100000.0,C;C++;Go;Java;Python,Go;Rust;Swift,MySQL;PostgreSQL,,Amazon Web Services (AWS);Microsoft Azure,Microsoft Azure,FastAPI;Spring Boot,FastAPI;Spring Boot,CMake;Rasberry Pi,Rasberry Pi,NumPy,,Docker;Homebrew;Make;Maven (build tool);npm;Visual Studio Solution,Docker;Homebrew;Maven (build tool);npm,AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,On-prem,AI-powered search (paid),Government,3.0
"Developer, full-stack",149330000.0,JavaScript;Ruby,Elixir;Go,MySQL,MySQL;Redis,Google Cloud,Google Cloud,React,React,,,,,Yarn,Docker;Kubernetes;Yarn,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8.0
Cloud infrastructure engineer,548000000.0,C;C++;HTML/CSS;Java;JavaScript;Python;Rust,C;Zig,,,Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure,Cloudflare,React,,GNU GCC;LLVM's Clang,,,,Make;Maven (build tool),Make,DevOps function;Automated testing;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),"Do search of internal share drives/storage locations for documentation (i.e., not a structured knowledge base)",Software Development,7.0
Data engineer,105000000.0,Python;SQL,Python;Rust;SQL,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL,Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE;FastAPI;React;WordPress,FastAPI;React,,,Flutter;Pandas;Scikit-Learn,CUDA;Flutter;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;npm;Pip,Docker;npm;Pip,AI-assisted technology tool(s),Cloud only (single or multi-cloud),AI-powered search (paid),Software Development,9.0
Engineering manager,80000000.0,JavaScript;TypeScript,Go;JavaScript;PHP;TypeScript,PostgreSQL,PostgreSQL,Microsoft Azure,,NestJS;Next.js;Node.js;React,Laravel;Next.js;Node.js;React;Vue.js,Rasberry Pi,Rasberry Pi,,React Native,Docker;Kubernetes;pnpm,Composer;Docker;Godot;pnpm;Vite,DevOps function;Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (free),Government,9.0
"Developer, full-stack",109600000.0,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft SQL Server,,,ASP.NET;ASP.NET CORE,ASP.NET;ASP.NET CORE;Blazor,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),NuGet;Visual Studio Solution,NuGet;Visual Studio Solution,Knowledge sharing community;Developer portal or other central places to find tools/services,On-prem,Traditional public search engine,Banking/Financial Services,7.0
"Developer, full-stack",4900.0,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Rust;SQL;TypeScript,C#;Dart;Elixir;Kotlin;Rust;Zig,MySQL;Redis;SQLite,Redis,Cloudflare,Cloudflare,Express;FastAPI;Node.js;React,Svelte,CMake;Cargo;GNU GCC;LLVM's Clang,Cargo;GNU GCC;LLVM's Clang,.NET (5+);.NET Framework (1.0 - 4.8);Flutter,,Chocolatey;Docker;Gradle;Homebrew;Make;npm;NuGet;Pip;pnpm;Visual Studio Solution;Vite;Webpack;Yarn,Docker;Godot;Gradle;Vite;Yarn,None of these,On-prem,A coworker,Higher Education,8.0
"Developer, embedded applications or devices",119600000.0,C;C++;Python,C;C++;Python;Rust,,,,,,,CMake;GNU GCC,CMake;GNU GCC,NumPy,NumPy,Docker;Make,Docker;Make,DevOps function;Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Traditional public search engine,"Internet, Telecomm or Information Services",8.0
"Developer, full-stack",68500000.0,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL;TypeScript,MySQL,MongoDB;MySQL,Amazon Web Services (AWS);Cloudflare;Google Cloud,Cloudflare,Laravel;Vue.js,Laravel;Node.js;React;Vue.js,,,RabbitMQ,RabbitMQ,Composer;Docker;npm;Vite,Composer;Docker;npm,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),AI-powered search (free),Retail and Consumer Services,7.0
"Developer, full-stack",205200000.0,Bash/Shell (all shells);Go;JavaScript;Python;TypeScript,Go;JavaScript;Python;TypeScript,Elasticsearch;PostgreSQL,Elasticsearch;PostgreSQL,Firebase;Google Cloud,Firebase;Google Cloud,Express;React,Express;React,,,,,Homebrew;npm;Vite;Webpack,Homebrew;npm;Vite,DevOps function;Automated testing;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),AI-powered search (paid),Software Development,10.0
"Developer, back-end",127500000.0,C#,C#,Microsoft SQL Server,,,,,,,,.NET (5+),.NET (5+),Docker;Kubernetes,Docker;Kubernetes,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Computer Systems Design and Services,2.0
"Developer, front-end",4504000000.0,HTML/CSS;JavaScript;SQL,HTML/CSS;JavaScript;Python;Rust;TypeScript;Zig,Elasticsearch;MongoDB;MySQL;Redis,MongoDB;MySQL;Redis,Amazon Web Services (AWS);Firebase;Google Cloud,Google Cloud;Vercel,Express;Next.js;Node.js;React,Htmx;NestJS;Next.js;Node.js;React;Svelte;Vue.js,,,,,Docker;Kubernetes;npm;Vite;Webpack;Yarn,npm;pnpm;Vite;Yarn,DevOps function;Knowledge sharing community;Microservices,Cloud only (single or multi-cloud),Traditional public search engine,,7.0
"Developer, full-stack",134260000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;Swift,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL;SQLite,Cloudflare;Google Cloud;Microsoft Azure,Cloudflare;Google Cloud;Microsoft Azure,jQuery;WordPress,jQuery,,,,,Composer;Docker;Homebrew,Composer;Docker;Homebrew,DevOps function;Automated testing;Knowledge sharing community;Developer portal or other central places to find tools/services,Hybrid (on-prem and cloud),A coworker,Higher Education,8.0
"Developer, full-stack",123000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Vercel,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Vercel,Next.js;Node.js;React,Node.js;React;Svelte;Vue.js,,,,,Docker;Homebrew;npm;Yarn,Docker;Homebrew;npm;Yarn,AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,,5.0
"Developer, full-stack",260300000.0,C#;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery,ASP.NET;ASP.NET CORE;Blazor;jQuery,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),Docker;MSBuild;NuGet;Pip;Visual Studio Solution,Docker;MSBuild;NuGet;Visual Studio Solution,DevOps function;Knowledge sharing community,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,9.0
"Developer, front-end",138370000.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,,MongoDB;PostgreSQL,,Amazon Web Services (AWS);Netlify,Firebase;Vercel,Node.js;React,Angular;Svelte,Cargo,,,,Chocolatey;Docker;npm;Vite,Bun;pnpm,Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,"Internet, Telecomm or Information Services",9.0
"Developer, back-end",205500000.0,TypeScript,Go,Dynamodb;MongoDB;MySQL,Dynamodb;MySQL;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),,,,,,,npm;Webpack,Docker;Kubernetes;Terraform;Vite,Microservices,Hybrid (on-prem and cloud),Traditional public search engine,Retail and Consumer Services,2.0
"Developer, full-stack",104000000.0,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,Elasticsearch;Microsoft SQL Server,Microsoft SQL Server;PostgreSQL;Redis,,,Angular;ASP.NET;ASP.NET CORE,ASP.NET;ASP.NET CORE;Blazor;Svelte,,,.NET (5+),.NET (5+);RabbitMQ,Kubernetes,Kubernetes,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,Software Development,9.0
"Developer, back-end",152070000.0,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Bash/Shell (all shells);C;Elixir;Go;HTML/CSS;Python;Rust;SQL;TypeScript;Zig,Dynamodb;Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean,Amazon Web Services (AWS);Digital Ocean,,FastAPI;Htmx;Svelte;Vue.js,Arduino;CMake;Cargo;Rasberry Pi,Arduino;CMake;Cargo;Rasberry Pi,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Docker;Homebrew;Make;npm;Pip;Terraform,Bun;Docker;Kubernetes;Make;Pip;Podman;Terraform,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,,7.0
"Developer, front-end",102144210.0,HTML/CSS;Java;JavaScript;TypeScript,HTML/CSS;Java;JavaScript;TypeScript,PostgreSQL,,,,React;Spring Boot,Next.js;React;Spring Boot,,,,,Homebrew;npm;Vite;Webpack,Docker;Homebrew;npm;Vite;Webpack;Yarn,Automated testing;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,Software Development,5.0
"Developer, full-stack",205500000.0,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,Bash/Shell (all shells);C;C++;HTML/CSS;Python;Rust;TypeScript,Dynamodb;Elasticsearch;PostgreSQL;Redis,Dynamodb;Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),Flask;React;Vue.js,React,Arduino;CMake;GNU GCC;Rasberry Pi,Arduino;GNU GCC;Rasberry Pi,,,Docker;Make;Pip;Terraform;Vite;Yarn,Docker;Pip;Terraform;Vite;Yarn,Automated testing;Observability tools;Knowledge sharing community;Microservices,Hybrid (on-prem and cloud),Traditional public search engine,Manufacturing,8.0
"Developer, back-end",124670000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Dynamodb;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis,MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),jQuery;Spring Boot,Angular;Htmx;jQuery;React;Spring Boot;Vue.js,,,Apache Kafka,Apache Kafka,APT;Docker;Gradle;Maven (build tool);npm;Pip,Docker;Gradle;Maven (build tool);npm;Pip;Podman;Webpack;Yarn,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,"Internet, Telecomm or Information Services",8.0
"Developer, back-end",139740000.0,Java;Python;SQL,C#;C++;Go;Rust,Dynamodb;PostgreSQL;Redis,PostgreSQL;Redis,Amazon Web Services (AWS),Google Cloud;Microsoft Azure,Flask;Spring Boot,,,,Apache Kafka,Apache Kafka;CUDA,Homebrew;Kubernetes;Maven (build tool);Pip,Homebrew;Pip,DevOps function;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Media & Advertising Services,6.0
"Developer, back-end",134260000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Bash/Shell (all shells);Go;Kotlin;TypeScript,MySQL;Redis,MongoDB;MySQL;Redis,,,Angular;Node.js;Spring Boot,Angular;Django;Express;Flask;Spring Boot,,,NumPy;Pandas;Spring Framework,Flutter;Spring Framework,Gradle;Homebrew;Kubernetes;Make;Maven (build tool),Gradle;Maven (build tool),DevOps function;Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Banking/Financial Services,7.0
"Developer, mobile",171250000.0,HTML/CSS;SQL;TypeScript,HTML/CSS;Kotlin;SQL;Swift;TypeScript,Dynamodb;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),React,React,,,React Native,React Native,Docker;Homebrew;npm,Docker;Homebrew;npm,DevOps function;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,4.0
"Developer, mobile",260300000.0,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;Swift;TypeScript,,,,,Node.js,Node.js,,,,,,,DevOps function;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,"Transportation, or Supply Chain",6.0
DevOps specialist,97500000.0,Bash/Shell (all shells);Go;Python;SQL,Bash/Shell (all shells);Python;SQL,Elasticsearch;MySQL;Oracle;PostgreSQL,Elasticsearch;MySQL;PostgreSQL,,,,,,,Apache Kafka;Pandas;RabbitMQ,Apache Kafka;Pandas;RabbitMQ,Ansible;Docker;Homebrew;Kubernetes;Pip,Ansible;Docker;Pip,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Internal Developer portal,"Internet, Telecomm or Information Services",8.0
"Developer, full-stack",178100000.0,Dart;HTML/CSS;JavaScript;PHP;Python;SQL,,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,,Amazon Web Services (AWS);Digital Ocean,,Express;jQuery;Node.js;WordPress,Svelte,Rasberry Pi,,Flutter,,Composer;Docker;Homebrew;npm;Pip;Webpack;Yarn,,Automated testing;AI-assisted technology tool(s);Microservices,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
"Developer, embedded applications or devices",171250000.0,Bash/Shell (all shells);C;C++;Go;Python;Rust,Bash/Shell (all shells);C;C++;Rust;Zig,MongoDB,PostgreSQL,Amazon Web Services (AWS);Digital Ocean,Digital Ocean,,,CMake;Cargo,CMake;Cargo,NumPy,CUDA,Ansible;Docker;Make;Pip,Make,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Healthcare,3.0
